dag_id,task_id,state,duration,try_number,day_of_week
dynamic_task_mapping_1,download_file,success,2.760081,1,5
dynamic_task_mapping_3,ls_file,success,2.318159,1,5
dynamic_task_mapping_3,ls_file,success,2.403452,1,5
ai_failure_prediction_real_metadata,train,success,3.104831,1,6
ai_failure_prediction_real_metadata,predict,success,2.62374,1,6
dynamic_task_mapping_2,get_files,success,28.148105,1,5
dynamic_task_mapping_4,download_file,success,1.034344,1,5
dynamic_task_mapping_4,get_files,success,0.819269,1,5
my_decorated_dag,extract_data,success,54.648907,1,5
dynamic_task_mapping_3,get_files,success,52.927282,1,5
my_decorated_dag,extract_data,success,37.702197,1,5
my_decorated_dag,load_data,success,0.220129,1,5
dynamic_task_mapping_4,download_file,success,0.868987,1,5
dynamic_task_mapping_4,print_files,success,0.412904,1,5
dynamic_task_mapping_1,download_file,success,1.746859,1,5
dynamic_task_mapping_3,download_file,success,2.232071,1,5
dynamic_task_mapping_1,download_file,success,1.765482,1,5
dynamic_task_mapping_1,download_file,success,2.655313,1,5
dynamic_task_mapping_3,download_file,success,16.902339,1,5
my_decorated_dag,load_data,success,0.844648,1,5
dynamic_task_mapping_3,download_file,success,15.491524,1,5
dynamic_task_mapping_2,download_file,success,1.595983,1,5
dynamic_task_mapping_2,download_file,success,3.588984,1,5
my_decorated_dag,transform_data,success,10.875503,1,5
dynamic_task_mapping_3,ls_file,success,2.873293,1,5
dynamic_task_mapping_3,ls_file,success,2.095321,1,5
dbt_airflow_example,dbt_seed,success,92.395079,1,5
my_decorated_dag,load_data,success,0.150213,1,6
my_decorated_dag,extract_data,success,0.323396,1,5
my_decorated_dag,transform_data,success,0.19809,1,5
my_decorated_dag,load_data,success,2.008728,1,5
dynamic_task_mapping_1,download_file,success,1.822979,1,5
dynamic_task_mapping_4,download_file,success,2.038184,1,5
dynamic_task_mapping_4,download_file,success,0.755644,1,5
dynamic_task_mapping_1,download_file,success,3.074706,1,5
my_decorated_dag,extract_data,success,0.694233,1,5
dynamic_task_mapping_2,download_file,success,2.098266,1,5
dynamic_task_mapping_2,download_file,success,2.501408,1,5
dynamic_task_mapping_2,download_file,success,6.010991,1,5
my_decorated_dag,transform_data,success,0.243605,1,5
dynamic_task_mapping_3,ls_file,success,2.061753,1,5
dynamic_task_mapping_3,ls_file,success,2.500943,1,5
